"index","garage_id","user_id","user_type","start_plugin","start_plugin_hour","end_plugout","end_plugout_hour","el_kwh","duration_hours","month_plugin","weekdays_plugin"
"0","AdO3","AdO3-4","Private","2018-12-21T10:20:00.000","10","2018-12-21T10:23:00.000","10","0.3","0.05","Dec","Friday"
"1","AdO3","AdO3-4","Private","2018-12-21T10:24:00.000","10","2018-12-21T10:32:00.000","10","0.87","0.136666667","Dec","Friday"
"2","AdO3","AdO3-4","Private","2018-12-21T11:33:00.000","11","2018-12-21T19:46:00.000","19","29.87","8.216388889","Dec","Friday"
"3","AdO3","AdO3-2","Private","2018-12-22T16:15:00.000","16","2018-12-23T16:40:00.000","16","15.56","24.41972222","Dec","Saturday"
"4","AdO3","AdO3-2","Private","2018-12-24T22:03:00.000","22","2018-12-24T23:02:00.000","23","3.62","0.970555556","Dec","Monday"
"5","AdO3","AdO3-2","Private","2018-12-24T23:32:00.000","23","2018-12-25T17:37:00.000","17","16.14","18.07777778","Dec","Monday"
"6","AdO3","AdO3-2","Private","2018-12-25T18:25:00.000","18","2018-12-26T16:08:00.000","16","10.33","21.72083333","Dec","Tuesday"
"7","AdO3","AdO3-4","Private","2018-12-26T10:41:00.000","10","2018-12-26T16:52:00.000","16","27.66","6.188055556","Dec","Wednesday"
"8","AdO3","AdO3-2","Private","2018-12-26T18:46:00.000","18","2018-12-26T21:08:00.000","21","8.83","2.371111111","Dec","Wednesday"
"9","AdO3","AdO3-2","Private","2018-12-29T16:04:00.000","16","2018-12-29T20:55:00.000","20","8.58","4.856111111","Dec","Saturday"
"10","AdO3","AdO3-2","Private","2018-12-29T23:48:00.000","23","2018-12-30T15:13:00.000","15","15.95","15.42833333","Dec","Saturday"
"11","AdO3","AdO3-2","Private","2018-12-30T16:24:00.000","16","2018-12-30T17:23:00.000","17","3.64","0.981111111","Dec","Sunday"
"12","AdO3","AdO3-2","Private","2018-12-30T22:00:00.000","22","2018-12-31T11:28:00.000","11","9.79","13.45472222","Dec","Sunday"
"13","AdO3","AdO3-4","Private","2019-01-02T08:39:00.000","8","2019-01-03T09:11:00.000","9","28.11","24.53388889","Jan","Wednesday"
"14","Bl2","Bl2-4","Private","2019-01-02T19:59:00.000","19","2019-01-03T00:52:00.000","0","14.64","4.879722222","Jan","Wednesday"
"15","AdO3","AdO3-2","Private","2019-01-04T15:44:00.000","15","2019-01-05T08:06:00.000","8","2","16.37472222","Jan","Friday"
"16","AdO3","AdO3-4","Private","2019-01-05T17:10:00.000","17","2019-01-06T16:24:00.000","16","29.34","23.24166667","Jan","Saturday"
"17","Bl2","Bl2-4","Private","2019-01-05T18:04:00.000","18","2019-01-06T17:39:00.000","17","14.77","23.58583333","Jan","Saturday"
"18","AdO1","AdO1-2","Private","2019-01-05T20:06:00.000","20","2019-01-06T13:23:00.000","13","10.46","17.28666667","Jan","Saturday"
"19","AdO1","AdO1-2","Private","2019-01-06T18:02:00.000","18","2019-01-06T21:31:00.000","21","3.92","3.479722222","Jan","Sunday"
"20","AdO1","AdO1-2","Private","2019-01-07T20:02:00.000","20","2019-01-07T20:05:00.000","20","0.08","0.036944444","Jan","Monday"
"21","AdO1","AdO1-2","Private","2019-01-07T20:05:00.000","20","2019-01-08T10:05:00.000","10","6.14","14","Jan","Monday"
"22","AdO1","AdO1-2","Private","2019-01-08T19:28:00.000","19","2019-01-09T12:01:00.000","12","5.34","16.55194444","Jan","Tuesday"
"23","Bl2","Bl2-4","Private","2019-01-09T16:46:00.000","16","2019-01-10T10:20:00.000","10","18.7","17.57194444","Jan","Wednesday"
"24","AdO1","AdO1-2","Private","2019-01-09T20:59:00.000","20","2019-01-10T15:19:00.000","15","10.38","18.33777778","Jan","Wednesday"
"25","Bl2","Bl2-2","Shared","2019-01-09T22:35:00.000","22","2019-01-09T23:10:00.000","23","1.85","0.585","Jan","Wednesday"
"26","AdO3","AdO3-4","Private","2019-01-09T23:53:00.000","23","2019-01-09T23:56:00.000","23","0.34","0.056666667","Jan","Wednesday"
"27","UT9","Share-12","Shared","2019-01-10T16:30:00.000","16","2019-01-10T17:20:00.000","17","5.1","0.831944444","Jan","Thursday"
"28","AdO1","AdO1-2","Private","2019-01-10T23:32:00.000","23","2019-01-11T18:10:00.000","18","8.35","18.63138889","Jan","Thursday"
"29","UT9","Share-12","Shared","2019-01-11T15:12:00.000","15","2019-01-11T17:07:00.000","17","11.7","1.917777778","Jan","Friday"
"30","AsO2","Share-4","Shared","2019-01-11T17:13:00.000","17","2019-01-11T21:43:00.000","21","7.28","4.500833333","Jan","Friday"
"31","Bl2","Share-8","Shared","2019-01-11T18:54:00.000","18","2019-01-12T09:47:00.000","9","16.79","14.88722222","Jan","Friday"
"32","UT9","Share-12","Shared","2019-01-11T20:34:00.000","20","2019-01-11T22:56:00.000","22","14.63","2.374166667","Jan","Friday"
"33","AsO2","Share-4","Shared","2019-01-12T12:23:00.000","12","2019-01-12T13:58:00.000","13","5.51","1.576388889","Jan","Saturday"
